[13:06:47] [INFO] received Windows console close event; shutting log-core down
[13:25:39] [INFO] received Windows console close event; shutting log-core down
[13:57:12] [INFO] received Windows console close event; shutting log-core down
[14:39:37] [INFO] received Windows console close event; shutting log-core down
[15:41:56] [INFO] received Windows console close event; shutting log-core down
[15:43:18] [INFO] received Windows console close event; shutting log-core down
[15:44:15] [INFO] received Windows console close event; shutting log-core down
[15:46:19] [INFO] received Windows console close event; shutting log-core down
[21:26:55] [INFO] received Windows console close event; shutting log-core down
[21:58:18] [INFO] received Windows console close event; shutting log-core down
[22:00:25] [INFO] received Windows console close event; shutting log-core down
[22:17:31] [INFO] received Windows console close event; shutting log-core down
[22:19:19] [INFO] received Windows console close event; shutting log-core down
[22:21:12] [INFO] received Windows console close event; shutting log-core down
[22:22:23] [INFO] received Windows console close event; shutting log-core down
[22:24:53] [INFO] received Windows console close event; shutting log-core down
[22:28:22] [INFO] received Windows console close event; shutting log-core down
[22:41:49] [INFO] received Windows console close event; shutting log-core down
